ID,Genero,Edad,Nivel_Educativo,Cargo,Pais,Experiencia,Salario
563,F,46,Doctorado,Asistente,BR,40,36118
564,M,57,Secundaria,Asistente,MX,5,45648
565,F,50,Maestría,Analista,BR,34,52759
566,F,56,Doctorado,Especialista,BR,27,34596
567,F,48,Doctorado,Director,BR,11,45150
568,F,31,Licenciatura,Supervisor,MX,13,79401
569,F,59,Maestría,Especialista,US,16,39213
570,F,44,Doctorado,Especialista,US,39,81966
571,M,42,Licenciatura,Especialista,BR,12,55049
572,M,59,Secundaria,Especialista,US,12,116709
573,F,21,Preparatoria,Supervisor,DE,2,46782
574,F,28,Maestría,Especialista,BR,32,59883
575,M,50,Secundaria,Especialista,FR,8,118545
576,F,51,Secundaria,Asistente,MX,22,93191
577,F,27,Maestría,Supervisor,DE,6,118549
578,F,46,Preparatoria,Gerente,ES,7,97744
579,M,48,Licenciatura,Gerente,MX,26,113754
580,F,22,Secundaria,Director,FR,37,94581
581,F,24,Secundaria,Analista,ES,25,102553
582,M,36,Preparatoria,Director,MX,27,101758
583,F,40,Licenciatura,Analista,FR,25,68260
584,M,20,Secundaria,Analista,ES,31,84382
585,F,53,Preparatoria,Analista,ES,9,45630
586,F,56,Maestría,Director,FR,22,102892
587,F,56,Preparatoria,Especialista,US,12,94841
588,F,34,Preparatoria,Asistente,MX,7,111575
589,F,41,Doctorado,Gerente,ES,20,99356
590,M,53,Secundaria,Especialista,DE,23,53257
591,M,53,Licenciatura,Analista,FR,12,83859
592,M,59,Maestría,Asistente,BR,28,80690
593,M,26,Doctorado,Director,BR,17,47562
594,F,47,Preparatoria,Gerente,DE,32,105078
595,F,35,Maestría,Director,DE,6,83336
596,M,50,Licenciatura,Supervisor,MX,12,61592
597,F,42,Maestría,Asistente,MX,17,66383
598,F,44,Maestría,Especialista,FR,26,59108
599,F,29,Secundaria,Analista,BR,13,104466
600,M,55,Licenciatura,Director,DE,15,53068
601,M,59,Preparatoria,Analista,DE,23,27625
602,F,23,Secundaria,Asistente,ES,6,50725
603,M,20,Secundaria,Asistente,FR,22,78191
604,F,30,Preparatoria,Gerente,BR,29,63736
605,M,52,Doctorado,Supervisor,BR,7,74220
606,F,50,Licenciatura,Supervisor,FR,34,95182
607,F,51,Maestría,Director,DE,17,85931
608,F,30,Doctorado,Director,FR,2,36930
609,F,24,Licenciatura,Especialista,FR,39,101205
610,F,51,Licenciatura,Gerente,ES,4,40118
611,F,40,Maestría,Asistente,US,36,116031
612,F,35,Doctorado,Especialista,BR,4,41617
613,F,41,Doctorado,Asistente,BR,24,32050
614,F,37,Doctorado,Asistente,DE,7,55112
615,F,23,Maestría,Gerente,US,11,116785
616,F,52,Maestría,Analista,US,1,94932
617,M,34,Licenciatura,Supervisor,MX,34,39832
618,M,55,Doctorado,Analista,ES,1,98408
619,M,44,Preparatoria,Asistente,DE,1,87825
620,F,45,Licenciatura,Supervisor,ES,21,76721
621,M,35,Preparatoria,Director,MX,25,110151
622,M,25,Licenciatura,Gerente,US,20,101108
623,M,49,Preparatoria,Director,FR,2,118382
624,M,48,Maestría,Gerente,ES,37,42723
625,F,56,Licenciatura,Supervisor,ES,37,31924
626,F,48,Licenciatura,Especialista,FR,24,92889
627,F,25,Secundaria,Supervisor,BR,5,48565
628,M,51,Preparatoria,Gerente,MX,12,95651
629,M,48,Licenciatura,Asistente,FR,13,55382
630,F,40,Licenciatura,Director,ES,40,41571
631,M,27,Maestría,Gerente,ES,32,56520
632,F,51,Preparatoria,Especialista,ES,12,31652
633,M,21,Doctorado,Especialista,DE,35,91639
634,F,26,Preparatoria,Especialista,ES,14,104547
635,M,45,Doctorado,Analista,DE,23,96259
636,M,46,Licenciatura,Asistente,FR,7,34721
637,F,22,Preparatoria,Director,MX,10,56653
638,M,55,Preparatoria,Director,MX,39,95648
639,M,55,Preparatoria,Asistente,ES,24,97388
640,F,20,Preparatoria,Especialista,FR,37,35953
641,M,25,Preparatoria,Analista,DE,12,69448
642,F,58,Secundaria,Director,ES,29,93822
643,M,59,Secundaria,Especialista,ES,12,95459
644,M,60,Licenciatura,Asistente,US,33,37260
645,F,39,Doctorado,Supervisor,BR,10,59033
646,F,52,Preparatoria,Especialista,BR,29,59228
647,F,55,Maestría,Gerente,MX,2,68525
648,F,33,Licenciatura,Supervisor,BR,40,96946
649,F,49,Licenciatura,Director,MX,3,42849
650,M,41,Preparatoria,Especialista,BR,35,48371
651,M,43,Preparatoria,Supervisor,MX,8,30769
652,F,23,Doctorado,Analista,ES,20,81062
653,F,34,Secundaria,Director,BR,19,89291
654,M,49,Licenciatura,Gerente,DE,7,51909
655,M,41,Licenciatura,Especialista,FR,23,43312
656,F,55,Preparatoria,Gerente,US,12,53902
657,F,59,Licenciatura,Especialista,BR,38,116589
658,M,58,Maestría,Gerente,MX,34,108394
659,M,50,Doctorado,Especialista,FR,11,36715
660,M,43,Preparatoria,Especialista,MX,7,92889
661,M,48,Doctorado,Analista,ES,32,44375
662,F,27,Licenciatura,Gerente,FR,13,106899
663,M,26,Secundaria,Supervisor,FR,39,82979
664,M,34,Secundaria,Especialista,ES,10,34363
665,M,20,Maestría,Supervisor,MX,40,80328
666,F,41,Maestría,Director,BR,22,119492
667,M,42,Preparatoria,Especialista,US,30,108080
668,F,60,Maestría,Gerente,ES,36,96660
669,F,38,Licenciatura,Analista,ES,25,35506
670,F,55,Preparatoria,Asistente,ES,29,67184
671,F,53,Secundaria,Supervisor,BR,8,85410
672,F,43,Doctorado,Director,US,36,46578
673,F,26,Doctorado,Supervisor,US,5,114304
674,M,22,Licenciatura,Especialista,DE,22,61216
675,M,30,Licenciatura,Supervisor,US,16,69260
676,M,51,Maestría,Director,US,24,28926
677,M,28,Licenciatura,Supervisor,FR,10,29339
678,F,46,Doctorado,Supervisor,DE,16,26511
679,M,26,Preparatoria,Analista,MX,32,28581
680,M,36,Doctorado,Asistente,US,13,112147
681,M,59,Maestría,Especialista,MX,26,115555
682,M,32,Licenciatura,Director,DE,3,28172
683,M,32,Secundaria,Director,MX,23,119776
684,M,27,Maestría,Especialista,US,4,28977
685,M,45,Secundaria,Gerente,DE,31,35962
686,F,33,Preparatoria,Especialista,FR,38,67270
687,F,49,Doctorado,Asistente,BR,7,46616
688,F,32,Secundaria,Supervisor,FR,34,108498
689,F,41,Licenciatura,Analista,ES,6,101787
690,M,26,Secundaria,Gerente,MX,21,35625
691,M,46,Maestría,Director,FR,34,35830
692,F,22,Doctorado,Asistente,DE,37,115171
693,F,60,Preparatoria,Analista,US,37,49958
694,F,57,Maestría,Especialista,MX,35,88016
695,M,27,Licenciatura,Director,DE,34,37879
696,M,48,Secundaria,Supervisor,ES,26,82537
697,F,49,Licenciatura,Especialista,ES,35,95651
698,M,57,Secundaria,Gerente,MX,13,109875
699,F,52,Doctorado,Asistente,DE,19,73698
700,M,28,Preparatoria,Gerente,ES,21,32503
701,M,51,Doctorado,Supervisor,FR,9,107686
702,M,20,Doctorado,Especialista,DE,29,104281
703,F,53,Preparatoria,Supervisor,MX,13,28387
704,M,23,Licenciatura,Director,FR,19,119270
705,M,55,Preparatoria,Gerente,US,28,44631
706,M,47,Secundaria,Gerente,ES,26,71312
707,M,57,Secundaria,Gerente,MX,28,66005
708,F,50,Doctorado,Especialista,MX,25,74682
709,F,52,Maestría,Gerente,FR,6,113103
710,F,31,Secundaria,Especialista,BR,32,40093
711,M,57,Doctorado,Especialista,MX,2,91062
712,F,31,Maestría,Analista,FR,32,109621
713,F,28,Preparatoria,Director,MX,7,62992
714,F,26,Maestría,Especialista,US,21,63291
715,F,44,Licenciatura,Asistente,US,36,59184
716,F,58,Doctorado,Analista,ES,31,45876
717,F,58,Doctorado,Especialista,FR,40,36146
718,M,40,Doctorado,Gerente,ES,25,96535
719,M,52,Secundaria,Supervisor,DE,20,44391
720,F,44,Licenciatura,Supervisor,BR,32,103688
721,F,46,Maestría,Especialista,MX,19,112574
722,F,58,Preparatoria,Gerente,DE,4,100547
723,M,35,Maestría,Analista,BR,34,95780
724,M,37,Licenciatura,Analista,ES,3,87492
725,M,45,Maestría,Director,US,13,62641
726,M,41,Licenciatura,Supervisor,MX,6,89374
727,F,38,Secundaria,Gerente,ES,20,93448
728,M,48,Licenciatura,Analista,FR,38,35040
729,M,28,Licenciatura,Analista,ES,37,44736
730,F,28,Licenciatura,Asistente,ES,35,48032
731,F,46,Licenciatura,Especialista,BR,12,62876
732,F,58,Maestría,Director,DE,21,90721
733,M,52,Doctorado,Asistente,ES,4,106481
734,F,39,Secundaria,Supervisor,BR,35,30565
735,F,55,Preparatoria,Gerente,ES,2,66171
736,M,40,Maestría,Especialista,FR,4,74734
737,F,55,Maestría,Especialista,MX,20,86456
738,F,60,Maestría,Supervisor,US,25,30293
739,F,33,Licenciatura,Gerente,ES,13,91472
740,F,32,Preparatoria,Analista,MX,23,81975
741,F,33,Maestría,Analista,ES,35,86251
742,M,59,Maestría,Gerente,US,4,28440
743,M,38,Preparatoria,Supervisor,FR,28,30786
744,F,42,Doctorado,Supervisor,MX,33,103539
745,F,28,Doctorado,Director,MX,34,31403
746,F,31,Secundaria,Especialista,FR,12,25366
747,F,52,Preparatoria,Asistente,US,33,111774
748,F,54,Preparatoria,Gerente,ES,24,59247
749,M,60,Licenciatura,Especialista,FR,3,57192
750,F,40,Maestría,Especialista,DE,14,74531
751,M,27,Doctorado,Supervisor,DE,7,70265
752,F,42,Licenciatura,Especialista,FR,30,108449
753,F,55,Secundaria,Especialista,FR,12,69759
754,F,50,Doctorado,Especialista,DE,15,36624
755,M,57,Maestría,Analista,ES,21,72378
756,F,56,Secundaria,Supervisor,US,5,119882
757,M,46,Secundaria,Especialista,BR,14,92618
758,F,54,Maestría,Supervisor,FR,32,61055
759,F,38,Licenciatura,Director,MX,14,94472
760,M,47,Maestría,Especialista,DE,37,44655
761,M,20,Preparatoria,Especialista,DE,40,78108
762,F,53,Doctorado,Supervisor,US,1,74508
763,F,26,Maestría,Director,BR,3,98793
764,F,21,Doctorado,Analista,DE,25,41114
765,M,44,Preparatoria,Analista,MX,14,55907
766,M,29,Preparatoria,Analista,MX,8,79129
767,F,23,Preparatoria,Analista,US,19,44565
768,M,23,Maestría,Analista,FR,1,60312
769,F,32,Licenciatura,Supervisor,FR,16,92067
770,F,37,Doctorado,Especialista,FR,22,54864
771,F,30,Maestría,Especialista,DE,12,67158
772,M,38,Secundaria,Asistente,FR,25,73439
773,M,36,Licenciatura,Gerente,DE,15,111681
774,M,29,Doctorado,Analista,BR,24,31422
775,M,23,Licenciatura,Asistente,FR,26,72999
776,F,38,Maestría,Asistente,DE,3,65648
777,M,33,Doctorado,Asistente,MX,10,47313
778,F,54,Maestría,Supervisor,FR,10,100605
779,M,22,Preparatoria,Director,MX,39,74194
780,M,42,Secundaria,Especialista,FR,16,30488
781,M,48,Secundaria,Especialista,BR,40,97422
782,F,26,Preparatoria,Analista,DE,17,118623
783,M,59,Licenciatura,Asistente,FR,28,30161
784,M,55,Licenciatura,Gerente,FR,37,106922
785,F,34,Maestría,Supervisor,BR,20,86573
786,F,55,Secundaria,Supervisor,ES,14,31951
787,F,44,Licenciatura,Especialista,ES,18,78311
788,F,35,Maestría,Especialista,US,27,52252
789,F,52,Preparatoria,Supervisor,FR,1,56508
790,F,38,Maestría,Director,ES,27,78763
791,M,23,Preparatoria,Asistente,US,27,103918
792,F,44,Secundaria,Gerente,ES,25,105505
793,M,44,Secundaria,Analista,US,18,98172
794,F,46,Licenciatura,Director,ES,13,85296
795,M,40,Maestría,Analista,US,32,106014
796,M,55,Secundaria,Especialista,BR,17,71540
797,M,23,Doctorado,Asistente,ES,39,27227
798,F,20,Licenciatura,Gerente,DE,1,106841
799,F,36,Doctorado,Supervisor,MX,26,108393
800,F,32,Maestría,Especialista,DE,3,93920
801,F,59,Doctorado,Analista,US,29,49217
802,M,48,Maestría,Supervisor,BR,9,41484
803,F,34,Licenciatura,Asistente,DE,15,33456
804,F,60,Maestría,Asistente,BR,5,32957
805,F,43,Secundaria,Asistente,ES,8,60102
806,M,57,Licenciatura,Supervisor,MX,8,31158
807,F,54,Doctorado,Analista,ES,11,41044
808,F,58,Doctorado,Asistente,FR,32,76337
809,F,32,Secundaria,Asistente,FR,5,58136
810,F,32,Licenciatura,Asistente,MX,12,94281
811,F,38,Preparatoria,Especialista,ES,35,41287
812,F,48,Doctorado,Especialista,DE,21,97848
813,F,31,Secundaria,Analista,BR,11,94375
814,M,24,Preparatoria,Gerente,FR,17,25651
815,M,31,Licenciatura,Especialista,US,26,59289
816,F,31,Maestría,Analista,BR,19,106995
817,M,52,Preparatoria,Gerente,BR,35,58903
818,F,27,Licenciatura,Asistente,US,19,109381
819,M,44,Preparatoria,Especialista,FR,19,48258
820,F,22,Secundaria,Gerente,US,37,96758
821,F,47,Licenciatura,Analista,FR,17,87081
822,F,37,Licenciatura,Asistente,US,7,90332
823,F,55,Maestría,Supervisor,BR,8,57638
824,M,36,Licenciatura,Director,DE,26,92589
825,F,28,Secundaria,Analista,FR,13,50409
826,M,30,Licenciatura,Analista,DE,6,74556
827,M,57,Licenciatura,Gerente,US,36,119133
828,F,36,Doctorado,Asistente,FR,32,49600
829,M,20,Secundaria,Gerente,ES,13,94248
830,F,41,Doctorado,Especialista,ES,9,109900
831,M,49,Preparatoria,Gerente,ES,34,33410
832,F,29,Preparatoria,Analista,ES,3,77390
833,M,22,Secundaria,Asistente,MX,31,60101
834,M,29,Doctorado,Director,MX,31,56749
835,F,40,Preparatoria,Analista,BR,7,45297
836,M,58,Doctorado,Analista,BR,8,113211
837,M,23,Licenciatura,Analista,FR,15,33589
838,F,60,Licenciatura,Asistente,US,3,43546
839,F,59,Licenciatura,Director,FR,25,116310
840,F,39,Licenciatura,Director,BR,12,77439
841,F,51,Licenciatura,Asistente,DE,6,106143
842,M,56,Secundaria,Gerente,US,5,113854
843,F,55,Doctorado,Supervisor,US,16,63686
844,F,42,Doctorado,Especialista,BR,28,47396
845,F,24,Licenciatura,Analista,MX,40,93383
846,F,40,Preparatoria,Gerente,US,24,99897
847,M,53,Secundaria,Director,MX,29,109565
848,M,34,Preparatoria,Analista,BR,10,112752
849,M,31,Doctorado,Asistente,ES,29,112422
850,F,53,Licenciatura,Director,FR,39,65304
851,M,24,Licenciatura,Especialista,DE,3,78430
852,M,52,Maestría,Asistente,BR,33,64005
853,F,30,Maestría,Supervisor,DE,13,45787
854,M,46,Licenciatura,Gerente,MX,14,27714
855,M,54,Preparatoria,Asistente,US,21,56813
856,F,54,Secundaria,Supervisor,MX,3,80023
857,M,45,Preparatoria,Especialista,BR,37,118977
858,F,25,Preparatoria,Director,MX,1,42106
859,M,42,Doctorado,Asistente,DE,10,73268
860,M,34,Preparatoria,Director,US,22,119666
861,F,33,Preparatoria,Asistente,MX,17,94248
862,M,41,Doctorado,Asistente,US,12,81477
863,F,41,Doctorado,Asistente,FR,23,53032
864,F,43,Doctorado,Gerente,FR,30,38643
865,F,38,Doctorado,Especialista,BR,13,65577
866,F,33,Doctorado,Analista,BR,4,58010
867,M,59,Secundaria,Especialista,ES,26,35769
868,M,53,Maestría,Analista,US,25,85550
869,F,50,Maestría,Gerente,BR,10,30344
870,M,55,Secundaria,Analista,DE,19,76142
871,M,20,Secundaria,Gerente,FR,33,63223
872,M,27,Preparatoria,Gerente,US,5,107789
873,M,42,Secundaria,Director,DE,15,76102
874,F,48,Maestría,Gerente,ES,12,45535
875,M,35,Licenciatura,Gerente,MX,13,71488
876,F,59,Licenciatura,Asistente,ES,22,73977
877,M,59,Licenciatura,Asistente,ES,29,63091
878,M,35,Preparatoria,Gerente,FR,2,30546
879,F,22,Maestría,Asistente,FR,29,49456
880,F,40,Doctorado,Director,FR,5,77858
881,F,44,Doctorado,Director,MX,16,55025
882,F,27,Licenciatura,Gerente,DE,39,119519
883,M,44,Preparatoria,Especialista,MX,34,113572
884,F,36,Licenciatura,Asistente,MX,19,73371
885,F,54,Secundaria,Supervisor,DE,36,69555
886,M,38,Secundaria,Analista,ES,11,96233
887,M,21,Preparatoria,Asistente,BR,10,114546
888,F,53,Preparatoria,Director,BR,36,49504
889,F,43,Preparatoria,Director,DE,21,63513
890,F,52,Preparatoria,Supervisor,BR,4,50122
891,F,52,Licenciatura,Especialista,DE,8,28049
892,F,48,Preparatoria,Gerente,BR,5,112643
893,F,51,Preparatoria,Supervisor,ES,27,36089
894,F,22,Preparatoria,Supervisor,BR,34,86581
895,M,38,Secundaria,Analista,DE,35,74449
896,F,32,Maestría,Director,US,2,65334
897,F,40,Secundaria,Especialista,DE,40,78895
898,M,52,Secundaria,Supervisor,US,11,61672
899,M,25,Secundaria,Especialista,DE,21,63089
900,F,26,Maestría,Gerente,FR,24,92237
901,F,30,Maestría,Asistente,FR,3,100459
902,F,54,Secundaria,Gerente,MX,10,94514
903,F,54,Preparatoria,Analista,US,7,91219
904,M,20,Secundaria,Especialista,MX,15,27948
905,F,60,Secundaria,Especialista,FR,1,54604
906,F,24,Doctorado,Director,FR,25,39282
907,M,33,Doctorado,Especialista,ES,1,73283
908,M,60,Secundaria,Especialista,DE,37,56646
909,F,33,Maestría,Especialista,DE,4,97887
910,F,47,Secundaria,Gerente,BR,25,116410
911,M,26,Licenciatura,Especialista,BR,37,90663
912,F,33,Secundaria,Director,ES,8,92993
913,M,54,Secundaria,Asistente,BR,15,48390
914,M,47,Licenciatura,Especialista,US,3,61101
915,F,24,Secundaria,Especialista,FR,37,68457
916,M,29,Secundaria,Asistente,DE,35,42596
917,M,21,Secundaria,Asistente,FR,5,86037
918,M,49,Doctorado,Gerente,ES,2,104966
919,F,41,Preparatoria,Supervisor,MX,31,116382
920,F,22,Doctorado,Gerente,US,37,33064
921,M,25,Preparatoria,Director,ES,25,113300
922,F,24,Preparatoria,Supervisor,BR,19,115211
923,M,23,Licenciatura,Supervisor,ES,40,69555
924,M,31,Secundaria,Analista,MX,25,29920
925,F,36,Secundaria,Asistente,FR,29,62971
926,F,55,Preparatoria,Gerente,FR,16,115023
927,F,24,Licenciatura,Analista,FR,32,108765
928,M,56,Doctorado,Director,FR,40,32539
929,M,34,Licenciatura,Analista,FR,17,63191
930,M,36,Licenciatura,Asistente,BR,23,56302
931,F,46,Preparatoria,Analista,ES,30,51822
932,F,44,Doctorado,Especialista,ES,31,53329
933,M,48,Doctorado,Asistente,BR,10,52385
934,F,60,Preparatoria,Supervisor,ES,30,71538
935,F,45,Doctorado,Analista,US,35,50471
936,F,47,Doctorado,Director,US,24,93971
937,F,40,Secundaria,Especialista,MX,15,58779
938,M,21,Secundaria,Analista,DE,10,101955
939,F,44,Doctorado,Director,DE,19,66297
940,M,27,Secundaria,Director,US,12,117914
941,M,54,Doctorado,Director,BR,25,41014
942,M,20,Preparatoria,Gerente,FR,17,76736
943,F,59,Preparatoria,Gerente,ES,11,54082
944,F,24,Licenciatura,Director,FR,24,43535
945,M,57,Preparatoria,Analista,FR,2,38392
946,F,22,Doctorado,Analista,ES,28,36804
947,M,24,Secundaria,Supervisor,MX,20,37396
948,F,42,Secundaria,Gerente,ES,10,118232
949,M,52,Preparatoria,Supervisor,ES,3,103624
950,F,26,Doctorado,Analista,US,30,84604
951,F,38,Maestría,Analista,MX,27,93971
952,F,39,Licenciatura,Gerente,ES,35,86138
953,F,58,Doctorado,Asistente,ES,15,119535
954,F,25,Preparatoria,Especialista,BR,26,41223
955,M,38,Maestría,Director,BR,9,96352
956,M,48,Secundaria,Asistente,US,23,31334
957,F,44,Preparatoria,Supervisor,US,14,104489
958,M,45,Licenciatura,Analista,ES,26,51033
959,F,21,Maestría,Asistente,ES,27,56600
960,M,50,Maestría,Director,FR,27,102767
961,M,30,Preparatoria,Especialista,MX,30,36982
962,F,54,Doctorado,Asistente,US,29,107689
963,F,34,Preparatoria,Director,DE,29,113969
964,F,28,Maestría,Asistente,ES,25,50950
965,M,45,Secundaria,Director,US,30,89563
966,M,54,Licenciatura,Asistente,MX,24,53414
967,M,38,Secundaria,Analista,US,22,42656
968,M,60,Maestría,Analista,FR,21,78083
969,F,29,Secundaria,Gerente,FR,26,109414
970,F,39,Doctorado,Director,US,9,67338
971,M,43,Preparatoria,Supervisor,MX,34,54585
972,M,20,Maestría,Gerente,FR,14,30139
973,M,55,Licenciatura,Director,MX,16,78300
974,M,55,Licenciatura,Especialista,FR,14,29555
975,F,29,Doctorado,Especialista,FR,13,119812
976,F,27,Secundaria,Asistente,US,37,35071
977,F,22,Secundaria,Asistente,MX,13,35992
978,F,20,Licenciatura,Asistente,BR,40,105199
979,M,56,Maestría,Supervisor,MX,24,91176
980,F,58,Secundaria,Supervisor,ES,30,90099
981,M,45,Maestría,Asistente,US,36,67918
982,F,54,Licenciatura,Gerente,ES,27,76031
983,F,55,Maestría,Director,FR,24,37492
984,F,25,Doctorado,Analista,BR,20,85517
985,M,39,Licenciatura,Especialista,DE,14,90625
986,F,33,Maestría,Asistente,BR,26,78372
987,M,42,Preparatoria,Especialista,FR,10,97423
988,F,33,Doctorado,Gerente,US,31,119409
989,F,46,Maestría,Especialista,BR,7,93743
990,M,52,Licenciatura,Gerente,ES,35,26098
991,F,29,Maestría,Gerente,MX,29,26398
992,M,30,Preparatoria,Supervisor,DE,20,49225
993,F,31,Secundaria,Asistente,DE,40,52355
994,F,34,Maestría,Especialista,MX,27,28482
995,M,59,Licenciatura,Director,BR,4,28853
996,F,36,Preparatoria,Analista,BR,13,101820
997,F,32,Secundaria,Especialista,BR,14,38991
998,M,27,Maestría,Especialista,ES,22,68855
999,M,31,Secundaria,Director,MX,36,79397
1000,F,56,Maestría,Especialista,US,11,39681
1001,M,23,Maestría,Gerente,ES,25,97055
1002,M,55,Doctorado,Especialista,DE,34,41765
1003,M,49,Secundaria,Asistente,DE,28,103275
1004,M,55,Secundaria,Supervisor,MX,12,93664
1005,F,24,Preparatoria,Especialista,ES,29,26719
1006,M,38,Maestría,Supervisor,MX,2,57032
1007,M,24,Maestría,Gerente,DE,14,115229
1008,M,36,Doctorado,Supervisor,US,25,74452
1009,M,26,Secundaria,Director,DE,37,68758
1010,M,32,Preparatoria,Supervisor,MX,12,86901
1011,M,57,Secundaria,Asistente,ES,18,108471
1012,M,51,Licenciatura,Director,US,37,117122
1013,F,41,Preparatoria,Director,FR,10,90188
1014,M,42,Licenciatura,Supervisor,ES,26,59588
1015,M,28,Preparatoria,Asistente,ES,37,62178
1016,F,35,Doctorado,Especialista,BR,13,103128
1017,M,26,Maestría,Gerente,DE,10,40689
1018,M,38,Secundaria,Director,DE,27,119998
1019,F,59,Preparatoria,Especialista,FR,21,79461
1020,M,24,Maestría,Analista,DE,30,25402
1021,M,32,Maestría,Director,MX,16,106403
1022,M,40,Licenciatura,Supervisor,DE,9,114144
1023,M,51,Doctorado,Director,DE,32,53010
1024,M,48,Doctorado,Analista,ES,21,76348
1025,F,41,Licenciatura,Especialista,MX,40,73222
1026,M,59,Maestría,Analista,BR,40,104920
1027,F,39,Licenciatura,Analista,MX,34,70323
1028,M,57,Maestría,Especialista,DE,3,42553
1029,M,29,Doctorado,Gerente,FR,7,32594
1030,F,56,Maestría,Analista,ES,5,34994
1031,M,56,Maestría,Gerente,US,6,65793
1032,M,43,Doctorado,Asistente,FR,2,104127
1033,F,40,Licenciatura,Analista,DE,1,34294
1034,M,47,Preparatoria,Analista,DE,4,41144
1035,M,30,Maestría,Especialista,MX,22,93938
1036,F,20,Secundaria,Director,DE,6,108792
1037,F,40,Secundaria,Asistente,DE,21,100370
1038,F,35,Licenciatura,Supervisor,MX,23,62596
1039,M,34,Maestría,Analista,US,13,39267
1040,F,47,Maestría,Supervisor,US,10,95677
1041,M,37,Preparatoria,Especialista,FR,14,63304
1042,M,43,Preparatoria,Asistente,BR,20,54601
1043,F,28,Secundaria,Especialista,US,5,55323
1044,F,41,Secundaria,Gerente,DE,24,77035
1045,M,50,Secundaria,Supervisor,US,40,94453
1046,M,49,Secundaria,Supervisor,ES,21,87566
1047,F,48,Maestría,Asistente,BR,38,69951
1048,F,42,Secundaria,Especialista,US,29,28457
1049,F,39,Preparatoria,Especialista,BR,31,101881
1050,M,51,Maestría,Asistente,US,22,43257
1051,F,55,Doctorado,Especialista,DE,12,78382
1052,F,26,Licenciatura,Analista,BR,19,50520
1053,M,31,Preparatoria,Supervisor,ES,20,47360
1054,M,58,Licenciatura,Analista,US,7,119759
1055,F,25,Doctorado,Asistente,US,36,45667
1056,M,37,Doctorado,Gerente,DE,11,53257
1057,M,28,Secundaria,Especialista,MX,10,104504
1058,M,54,Secundaria,Analista,FR,11,103900
1059,F,32,Doctorado,Especialista,DE,27,91303
1060,F,36,Maestría,Supervisor,DE,8,44383
1061,F,60,Maestría,Especialista,US,35,34633
1062,F,24,Preparatoria,Asistente,MX,40,56475
1063,F,24,Licenciatura,Especialista,BR,27,84151
1064,F,21,Maestría,Director,MX,11,61047
1065,M,52,Maestría,Gerente,BR,36,68934
1066,M,60,Doctorado,Especialista,FR,36,69262
1067,M,21,Licenciatura,Especialista,FR,31,79823
1068,F,57,Doctorado,Asistente,US,18,35059
1069,F,57,Licenciatura,Especialista,DE,16,37088
1070,M,45,Doctorado,Asistente,US,8,58442
1071,F,57,Doctorado,Analista,MX,10,29781
1072,F,33,Secundaria,Asistente,BR,29,116149
1073,F,22,Secundaria,Supervisor,DE,7,63528
1074,F,55,Maestría,Gerente,ES,3,42046
1075,F,36,Secundaria,Especialista,FR,9,93115
1076,M,54,Maestría,Asistente,BR,25,95268
1077,F,54,Maestría,Gerente,DE,31,78378
1078,F,50,Licenciatura,Gerente,FR,25,30616
1079,F,29,Maestría,Analista,US,31,73081
1080,F,43,Maestría,Director,DE,11,107638
1081,F,45,Maestría,Gerente,ES,2,27785
1082,M,34,Secundaria,Asistente,BR,38,69235
1083,F,57,Secundaria,Director,FR,24,56149
1084,M,38,Preparatoria,Analista,DE,29,89536
1085,M,28,Doctorado,Supervisor,US,38,76838
1086,M,49,Licenciatura,Supervisor,ES,37,81186
1087,M,52,Preparatoria,Supervisor,US,12,82064
1088,F,52,Maestría,Gerente,ES,29,31076
1089,M,25,Maestría,Director,DE,2,93070
1090,F,45,Preparatoria,Analista,BR,32,115922
1091,M,43,Licenciatura,Director,BR,37,37580
1092,M,52,Maestría,Especialista,DE,23,40271
1093,F,20,Maestría,Gerente,BR,22,41880
1094,M,35,Secundaria,Asistente,FR,6,80904
1095,F,59,Doctorado,Analista,ES,24,27355
1096,F,30,Maestría,Director,FR,5,30525
1097,F,52,Doctorado,Director,BR,12,50288
1098,M,28,Doctorado,Supervisor,ES,9,32259
1099,F,48,Doctorado,Director,MX,40,93191
1100,F,30,Maestría,Director,US,20,51631
1101,F,31,Maestría,Gerente,MX,26,72359
1102,M,56,Doctorado,Analista,ES,10,76195
1103,M,56,Preparatoria,Especialista,BR,8,77144
1104,M,29,Doctorado,Especialista,BR,13,104616
1105,F,50,Secundaria,Asistente,ES,21,36584
1106,M,42,Maestría,Supervisor,US,19,28574
1107,M,22,Licenciatura,Gerente,DE,6,75631
1108,F,34,Maestría,Director,BR,23,45184
1109,F,51,Doctorado,Especialista,MX,39,114772
1110,M,34,Maestría,Asistente,US,32,84720
1111,F,24,Doctorado,Analista,BR,2,34526
1112,M,36,Licenciatura,Supervisor,ES,40,66992
1113,F,43,Licenciatura,Asistente,DE,38,52899
1114,M,34,Licenciatura,Supervisor,MX,27,38100
1115,F,22,Secundaria,Analista,ES,11,48004
1116,M,33,Secundaria,Director,DE,24,53652
1117,M,53,Doctorado,Analista,BR,17,58295
1118,F,43,Secundaria,Asistente,DE,13,69634
1119,F,44,Preparatoria,Supervisor,US,33,71634
1120,F,50,Licenciatura,Director,BR,18,31822
1121,F,49,Licenciatura,Director,BR,34,81333
